job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills
170784847,设备主管,仪器仪表/工业自动化,1.4,1.8,万,月,5年及以上,大专,在线,2026-04-14 19:09:51,2026-04-15 17:49:32,红品晶英科技（深圳）有限公司,深圳·宝安区,"五险一金,年终奖金,绩效奖金,周末双休,五险","职位详情：
工作内容：
1、体系建设与流程优化
2、供应商全生命周期管理
3、自有团队管理与应急处置
4、新设备导入（NPI）支持
5、资产状态评估与处置
任职要求：
1、 机械工程、电气自动化、机电一体化等相关专业，大专及以上学历。
2、从业经验： 至少 5 年以上制造业设备维护管理经验，其中至少 2 年以上团队管理经验；
3、对机加设备非常熟悉

年龄要求：
16-40岁

职能类别：
设备主管",制造业/工业自动化,机械工程,"团队管理, npi, 电气自动化, 机械工程, 流程优化, 设备导入, 体系建设, 应急处置, 机加设备, 机电一体化"
171601792,活动执行专员,计算机软件,9.0,10.0,千,月,无需经验,大专,在线,2026-04-15 05:12:37,2026-04-15 17:49:43,上海柔和灵动科技有限公司,南昌·青山湖区,"带薪年假,员工旅游,年终奖金,绩效奖金,定期体检,出差补贴","职位详情：
【工作内容】
- 负责公司各类市场活动的策划、组织与执行，确保活动顺利进行；
- 协调内外部资源，包括供应商、场地、人员等，保障活动高效落地；
- 跟进活动全流程，撰写活动总结报告并提出优化建议；
- 支持团队完成活动相关的宣传推广及客户接待工作。
【任职要求】
- 大专及以上学历，市场营销、传媒、管理等相关专业优先；
- 具备良好的沟通协调能力与执行力，能适应高强度工作节奏；
- 熟悉活动流程管理，有相关实习或工作经验者优先；
- 具备较强的责任心和团队合作精神，能够独立完成任务。

年龄要求：
25岁以上

职能类别：
活动执行",信息技术/软件,计算机技术,"活动总结, 线上线下活动, 执行"
171574040,erp实施顾问,电子商务,8.0,10.0,千,月,无需经验,大专,在线,2026-04-15 00:59:27,2026-04-15 17:49:56,温州崇希贸易有限公司,温州·瓯海区,"五险一金,补充医疗保险,绩效奖金,年终奖金,带薪年假","职位详情：
【工作内容】
- 负责企业ERP系统的需求调研与方案设计，结合业务流程制定信息化解决方案
- 参与项目全周期管理，包括系统配置、数据迁移、模块开发及上线部署
- 配合客户完成系统功能测试与用户培训，确保系统高效稳定运行
- 协同技术团队解决系统集成问题，推动跨部门协作达成数字化转型目标
【任职要求】
- 大专及以上学历，计算机科学、信息管理或相关专业优先（优秀应届生可放宽条件）
- 熟悉主流ERP系统（如SAP/Oracle/金蝶等），掌握至少一种主流数据库操作技能
- 具备良好的逻辑思维能力与沟通协调技巧，能独立处理客户需求分析与文档编写
- 拥有较强的学习适应力，能快速理解复杂业务场景并转化为技术实现方案
- 具备基础英语读写能力者优先考虑，需持有PMP/CISP等认证证书者加分

职能类别：
ERP实施顾问",互联网/电子商务,计算机技术,"oracle, 数据库, erp, 需求调研, sap, 金蝶, 方案设计, 文档编写, 英语读写"
171597654,招一个家门口上班的HRBP,在线招聘/求职,5.0,8.0,千,月,1年及以上,大专,在线,2026-04-14 17:51:59,2026-04-15 17:50:06,南通市钮果果网络科技有限公司,南京·雨花台区,"五险一金,定期体检,周末双休,节日福利","职位详情：
负责BD销售岗的招聘全流程：职位发布、邀约、面试、入职跟踪

综合薪资5700元
9:00-18:00，午休90分钟，周末双休
入职满1个月缴南京五险一金

要求大专及以上，1年以上招聘经验，30岁以内

团队年轻，氛围轻松，等你来聊！

职能类别：
HRBP",互联网/招聘平台,人力资源,"招聘全流程, 职位发布, 邀约, 面试, 入职跟踪, 大专及以上, 1年以上招聘经验, 30岁以内"
171605412,技术支持工程师,贸易/进出口,6.0,7.0,千,月,2-3年,硕士,在线,2026-04-15 09:52:28,2026-04-15 17:50:19,北京中际慧通科技有限公司,北京·朝阳区,"五险一金,年终奖金,专业培训,餐饮补贴,交通补贴,通讯补贴,节日福利,周末双休","职位详情：
公司代理有国际国内品牌生命科学类仪器和试剂耗材，岗位主要配合销售在生命科学、化学、材料等仪器类、工具类、试剂耗材在高校科研企业相关单位的市场开拓、宣传、销售售前售后技术支持工作，完成区域客户开发覆盖，挖掘客户需求，完成销售任务，做好客户服务。

年龄要求：
25-30岁

职能类别：
售后技术支持工程师",贸易/进出口贸易,商业与贸易,生命科学技术
171605938,医学检验分析师,制药/生物工程,5.0,8.0,千,月,无需经验,本科,在线,2026-04-15 10:01:42,2026-04-15 17:50:30,湖南星浩医药物流有限公司,湘西,,"职位详情：
【工作内容】
- 负责产品注册资料的整理、编写及提交，确保符合国家相关法规和标准要求；
- 协调内外部资源，推动产品注册流程顺利进行，跟进注册审批进度；
- 跟踪国内外医疗器械注册政策变化，及时更新公司注册策略；
- 支持临床研究项目，协助完成相关数据收集与分析工作。
【任职要求】
- 本科及以上学历，检验学、医学、生物、药学或相关专业背景；
- 具有良好的沟通协调能力和责任心，能适应一定强度的工作压力。
只招应届毕业生
招聘人数：2人

职能类别：
医疗器械注册",制造业/医药生物,生物与医药,"产品注册资料整理, 产品注册资料编写, 产品注册资料提交, 符合国家相关法规, 符合国家相关标准, 协调内外部资源, 推动产品注册流程, 跟进注册审批进度, 跟踪医疗器械注册政策, 更新公司注册策略, 支持临床研究项目, 协助数据收集, 协助数据分析, 检验学专业背景, 医学专业背景, 生物专业背景, 药学专业背景, 沟通协调能力, 适应工作压力"
171606297,作物主管（新疆塔城）,环保,4.0,8.0,千,月,3年及以上,本科,在线,2026-04-15 10:11:35,2026-04-15 17:50:41,普罗生物技术（上海）有限公司,塔城,"五险一金,带薪年假,年终奖金,定期体检,有餐补,通讯补贴,交通补贴,出差补贴,专业培训","职位详情：
岗位职责：
1、探索和完善目标作物的全程营养方案，并结合市场需求提供产品改进意见；
2、根据基地需求，提供技术解决方案并落地探索；
3、搜索目标作物各阶段的栽培管理，种植收益，品种更迭等信息，并反馈公司；
4、解答基地或者同事有关该作物的技术咨询；
5、为商务人员提供技术支持，共同开发客户；
6、领导安排的其他工作。
岗位要求：
1、本科及以上涉农专业背景，三年以上相关工作经验；
2、善于发现问题，分析问题并解决问题的能力；
3、具有良好沟通能力和团队协作意识；
4、能适应出差。

职能类别：
农业技术员",环保行业,环境与安全,"营养方案, 栽培管理, 技术解决方案"
171606502,物业维修（白班8小时）,物业管理/商业中心,4.0,4.2,千,月,1年及以上,高中,在线,2026-04-15 10:16:40,2026-04-15 17:51:01,嘉信立恒设施管理（上海）有限公司,桂林,五险,"职位详情：
一、岗位职责：
1，具备简单维修能力；
2，熟练使用常见维修工具；
3，更换灯管/开关/插座；
4，处理水龙头漏水/马桶堵塞；
5，日常巡检照明/水路/门窗；
6，接到报修10分钟内响应并处理简单故障，复杂故障及时上报；
7、外来快递管控整理，维护区域卫生（5S标准）；
8、巡逻检查：消防设施每日检查，活动物资搬运协助。
二、任职资格：
年龄：40周岁以内
学历：高中及以上学历
素质要求：会使用office办公软件
外貌要求：五官端正，体态均匀，身高1.7M以上，无纹身、无明显疤痕，精神面貌好。

年龄要求：
16-40岁

职能类别：
物业维修员",服务业/物业管理,管理与咨询,"维修, 5s, 门窗, 消防设施, 照明, 维修工具, 开关, 插座, 巡逻检查"
171598906,贸易/外贸专员/助理,其他专业服务,1.0,1.2,万,月,无需经验,大专,在线,2026-04-14 18:56:19,2026-04-15 17:51:19,义乌市金杉湖生物科技有限公司,义乌,"带薪年假,员工旅游,年终奖金,绩效奖金,专业培训,定期体检,出差补贴","职位详情：
【工作内容】
- 负责公司外贸业务的日常操作，包括订单处理、客户沟通及跟进；
- 协助开发和维护海外客户资源，拓展国际市场；
- 跟进进出口流程，协调物流、报关等相关事务；
- 收集并分析市场信息，为公司提供有效的市场反馈与建议。
【任职要求】
- 大专及以上学历，国际贸易、商务英语或相关专业优先；
- 具备良好的英语听说读写能力，能熟练进行商务沟通；
- 熟悉外贸流程及相关单证操作，有相关工作经验者优先；
- 工作认真细致，具备较强的责任心和团队协作精神。

年龄要求：
23岁以上

职能类别：
贸易/外贸专员/助理",专业服务/其他,管理与咨询,"客户沟通, 报关, 订单处理"
171603237,轮机监造工程师,仪器仪表/工业自动化,2.0,2.3,万,月,8年及以上,,在线,2026-04-15 08:57:21,2026-04-15 17:51:31,大连计仪船舶工程有限公司,镇江·扬中市,"专业培训,有餐补","职位详情：
1.甲方岗位，船东；（杂货船）

2.公司提供食宿、午餐；

3.船舶8年及以上轮机工作经验，对应质量口或者对应专业施工员/调试员***；

4.能做电脑报告，自带笔记本电脑；

5.周期:6个月左右；

职能类别：
船舶工程师",制造业/工业自动化,机械工程,"调试, 轮机, 船舶"
